书名,价格,作者,出版社
高性能网络参考书 Netty之父Trustin Lee作序推荐 含有大量即用型的优质示例,￥35.80,(美)诺曼毛瑞尔（NormanMaurer）马文艾,人民邮电出版社
并发实战 （美）盖茨（Brian Goetz），皮埃斯（TimPeierls）等 华章,￥49.68,（美）盖茨,机械工业出版社
核心技术卷I基础知识+卷II高级特性 原书第11版 2020年新版 华章图书 核心技术系列,￥227.17,(美)凯·S.霍斯特曼CayS.Horstman,机械工业出版社
深入理解虚拟机+HotSpot双子星 套装共2册,￥208.00,周志明,机械工业出版社
现货并发的艺术//核心技术/计算机书|4730532,￥38.30,无,无
【配套视频】零基础从入门到精通 书小白自学入门到实践计算机网络书籍,￥34.70,无,广东人民出版社
程序员面试笔试宝典 第2版,￥99.00,何昊,机械工业出版社
C语言程序设计从入门到精通 python入门指南 零基础自学教程 计算机语言套装,￥132.00,无,电子工业出版社
【包邮】凤凰架构 构建可靠的大型分布式系统 深入理解虚拟机周志明新作 架构演进设计思维分布式基石 程序设计分布式系统设计 图书,￥74.25,周志明,机械工业出版社
网络安全代码审计实战,￥49.10,高昌盛,电子工业出版社
代码整洁之道 新版 语言版，鲍勃大叔作品,￥49.50,无,无
疯狂讲义 第5版 附光盘 李刚 语言教材计算机书教程8语言,￥67.50,无,电子工业出版社
【新华书店正版】O'Reilly：Head First （中文版 第2版 涵盖5.0） (美)塞若(,￥53.88,(美)塞若Sierra,中国电力出版社
核心技术 卷Ⅱ高级特性 原书第11版 核心技术系列,￥111.75,(美)凯·S.霍斯特曼,机械工业出版社
Spring源码深度解析第2版 Spring 5.x开发入门 微服务实战,￥74.00,无,无
图解多线程设计模式/图灵程序设计丛书,￥40.70,无,人民邮电
 核心技术 卷Ⅱ 高级特性（原书第10版）|230488,￥9.90,无,无
游戏,￥54.40,布拉肯,科学出版社
函数式,￥119.00,(法) Pierre-Yves,电子工业出版社
 SOAP指南,￥43.00,美.贝奎特著魏海萍等译,电子工业出版社
2游戏,￥120.85,(美) 彼切尔 著,清华大学出版社
并发实践,￥81.36,(美)戈茨Goetz,电子工业出版社
【正版】核心技术 卷II 高级特性(原书第9版) 计算机与互|224859,￥24.90,无,无
网络精解,￥55.00,孙卫琴 编著,电子工业出版社
趣味100例,￥56.78,衡友跃　等编著,清华大学出版社
深入理解高并发,￥148.00,无,清华大学出版社
灵感,￥46.00,飞思科技产品研发中心著,电子工业出版社
 Applet实例,￥63.48,何梅,清华大学出版社
码出高效：开发手册(博文视点出品),￥56.50,无,无
图解并发汪建,￥96.72,汪建,人民邮电出版社
 实时,￥46.00,美布鲁诺,机械工业出版社
开放源码,￥31.50,美沃纳斯Walnes,电子工业出版社
优化(第2版),￥49.00,林胜利,电子工业出版社
网络(第3版),￥85.00,英哈诺德,中国电力出版社
思想（第4版)为首的程序员的案头书 从入门到精通 核心技术,￥320.00,无,无
图像实例库,￥38.70,(美)坎伯萨托 著,电子工业出版社
